"Supplementary Data 8. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
MTBC_A3	C00010178	ERS389344		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00010272	SRR2100421		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00010481	ERS389418		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00014433	ERR400306		S	S	S				S			
MTBC_A3	C00016493	ERS389518		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016494	ERS389519		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016496	ERS389520		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016497	SRR2101063		 	R	S	 	 	S	 	 	 	 
MTBC_A3	C00016499	ERS389522		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016500	ERS389523		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016501	ERS389524		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016502	ERS389525		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016504	ERS389527		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016505	ERS389528		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016507	ERS389529		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016508	ERS389530		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016509	SRR2101064		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016517	SRR2101065		S	R	S	 	 	 	S	 	 	 
MTBC_A3	C00016523	ERS389535		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016524	ERS389536		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016526	ERS389538		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016527	SRR2101066		 	S	 	 	 	 	 	 	 	 
MTBC_A3	C00016528	ERS389539		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016529	ERS389540		 	S	 	 	 	 	 	 	 	 
MTBC_A3	C00016530	ERS389541		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016532	ERS389542		S	R	S	 	 	 	R	 	 	 
MTBC_A3	C00016533	ERS389543		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016534	ERS389544		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016535	SRR2101067		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016536	ERS389545		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016539	ERS389548		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016540	ERS389549		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016541	ERS389550		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016542	ERS389551		 	S	 	 	 	 	 	 	 	 
MTBC_A3	C00016543	ERS389552		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016544	ERS389553		 	R	 	 	 	 	 	 	 	 
MTBC_A3	C00016545	ERS389554		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016548	SRR2101068		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016550	SRR2101069		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016551	SRR2101070		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016552	SRR2101071		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016553	SRR2101072		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016554	SRR2101073		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016555	SRR2101074		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016557	SRR2101075		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016558	SRR2101076		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016559	SRR2101077		S	R	S	 	 	 	R	 	 	 
MTBC_A3	C00016560	SRR2101078		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016561	SRR2101079		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016562	SRR2101080		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016564	SRR2101081		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016567	SRR2101082		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016568	SRR2101083		S	S	S	 	 	 	R	 	 	 
MTBC_A3	C00016569	SRR2101084		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016574	ERS389558		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016576	ERS389559		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016580	ERS389562		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016581	ERS389563		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016582	ERS389564		S	R	S	 	 	 	R	S	 	 
MTBC_A3	C00016583	ERS389565		S	S	S	 	 	 	S	 	 	 
MTBC_A3	C00016586	ERS389568		S	S	S	 	 	 	S	 	 	 
