"Supplementary Data 6. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
MTBC_A1	C00005488	ERR046953	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A1	C00005489	ERR046954	bovis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005494	ERR046959	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005496	ERR046961	bovis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005499	ERR046964	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005502	ERR046967	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A1	C00005511	SRR2100096	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005518	ERR046983	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005520	SRR2100101	tuberculosis	R	R	S	 	 	 	S	S	 	 
MTBC_A1	C00005524	ERR046989	bovis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005526	ERR046991	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005538	ERR047003	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00005544	ERR047009	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00007277	ERR072029	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00007280	ERR072032	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00007287	ERR072039	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00007290	ERR072042	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00007294	ERR072046	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00007295	ERR072047	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00007296	ERR072048	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00007306	SRR2100112	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00007309	SRR2100115	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00007321	SRR2100124	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00007326	SRR2100128	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00007334	SRR2100134	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008682	SRR2100157	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00008683	SRR2100158	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00008687	SRR2100160	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008689	SRR2100162	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008690	SRR2100163	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008692	SRR2100165	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008696	SRR2100168	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00008699	SRR2100169	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008700	SRR2100170	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008703	SRR2100173	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008711	SRR2100180	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008714	SRR2100183	africanum	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008733	SRR2100198	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00008736	SRR2100201	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008737	SRR2100202	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008739	SRR2100204	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008741	SRR2100205	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008746	SRR2100210	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008750	SRR2467268	tuberculosis		R	S					S		
MTBC_A1	C00008753	SRR2100216	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00008754	SRR2100217	tuberculosis	R	R	S	S	S	S	S	S	S	S
MTBC_A1	C00008759	SRR2100222	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008760	SRR2100223	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008769	SRR2100229	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00008774	SRR2100234	tuberculosis	R	R	R	 	 	 	 	S	 	 
MTBC_A1	C00008787	SRR2100246	tuberculosis	R	R	S	S	S	S	S	S	S	S
MTBC_A1	C00008789	SRR2100248	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00008791	SRR2100250	tuberculosis	R	R	S	R	R	R	R	 	R	R
MTBC_A1	C00008804	SRR2100260	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00008808	SRR2100264	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008813	SRR2100269	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008826	SRR2100281	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008827	SRR2100282	tuberculosis	R	R	S	S	S	S	 	S	S	S
MTBC_A1	C00008832	SRR2100287	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008833	SRR2100288	tuberculosis	S	R	S	S	S	S	S	S	S	S
MTBC_A1	C00008834	SRR2100289	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00008836	SRR2100291	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008840	SRR2100295	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00008849	SRR2100304	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008852	SRR2100307	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008853	SRR2100308	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008854	SRR2100309	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008860	SRR2100314	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008861	SRR2100315	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008862	SRR2100316	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008873	SRR2100327	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008875	SRR2100329	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008876	SRR2100330	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008887	SRR2100340	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A1	C00008896	SRR2100349	tuberculosis	R	R	S	S	S	S	S	S	S	S
MTBC_A1	C00008899	SRR2100352	tuberculosis	R	R	R	S	S	S	R	S	S	S
MTBC_A1	C00008903	SRR2100356	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008904	SRR2100357	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008905	SRR2100358	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008907	SRR2100360	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008910	SRR2100362	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008920	SRR2100371	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008922	SRR2100373	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008924	SRR2100375	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008927	SRR2100378	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008929	SRR2100380	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A1	C00008932	SRR2100383	tuberculosis	S	R	S	 	 	 	 	S	 	 
