"Supplementary Data 9. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
MTBC_B	10016-05	ERR551085		S	S	S	 	 	 	S	 	 	 
MTBC_B	10054-10	ERR551223		S	S	S	 	 	 	S	 	 	 
MTBC_B	10056-06	ERR552204		S	S	S	 	 	 	S	 	 	 
MTBC_B	10057-10	ERR551150		S	S	S	 	 	 	S	 	 	 
MTBC_B	10058-10	ERR553349		S	R	S	 	 	 	R	 	 	 
MTBC_B	10091-01	ERR552113		R	R	R	 	 	 	R	 	 	 
MTBC_B	10093-08	ERR552505		S	S	S	 	 	 	S	 	 	 
MTBC_B	10094-12	ERR552942		S	S	S	 	 	 	S	 	 	 
MTBC_B	10098-05	ERR552440		S	S	S	 	 	 	S	 	 	 
MTBC_B	10108-01	ERR550646;ERR550647;ERR550645		R	R	S	 	 	 	R	 	 	 
MTBC_B	10108-11	ERR552659		S	S	S	 	 	 	S	 	 	 
MTBC_B	10118-05	ERR498373;ERR498374		S	S	S	 	 	 	S	 	 	 
MTBC_B	1014-10	ERR551858		S	S	S	 	 	 	S	 	 	 
MTBC_B	10155-09	ERR550975		S	S	S	 	 	 	S	 	 	 
MTBC_B	1016-12	ERR552676		S	S	S	 	 	 	S	 	 	 
MTBC_B	10162-04	ERR551751		S	S	S	 	 	 	S	 	 	 
MTBC_B	10168-06	ERR552249		S	S	S	 	 	 	S	 	 	 
MTBC_B	10212-12	ERR552232		S	S	S	 	 	 	S	 	 	 
MTBC_B	10213-12	ERR552845		S	S	S	 	 	 	S	 	 	 
MTBC_B	10214-09	ERR552813		S	S	S	 	 	 	S	 	 	 
MTBC_B	10214-12	ERR553054		S	S	S	 	 	 	S	 	 	 
MTBC_B	10229-10	ERR551932		S	S	S	 	 	 	S	 	 	 
MTBC_B	10238-08	ERR553379		S	S	S	 	 	 	S	 	 	 
MTBC_B	10239-08	ERR553296		S	S	S	 	 	 	S	 	 	 
MTBC_B	10243-09	ERR550955		S	S	S	 	 	 	S	 	 	 
MTBC_B	10245-11	ERR551839		S	S	S	 	 	 	S	 	 	 
MTBC_B	10256-10	ERR552984		S	S	S	 	 	 	S	 	 	 
MTBC_B	10309-10	ERR552370											
MTBC_B	10311-11	ERR551652		S	S	S	 	 	 	S	 	 	 
MTBC_B	10324-06	ERR552019		S	S	S	 	 	 	S	 	 	 
MTBC_B	10325-06	ERR551507		S	S	S	 	 	 	S	 	 	 
MTBC_B	10353-09	ERR553140		S	S	S	 	 	 	S	 	 	 
MTBC_B	1036-06	ERR552371		S	S	S	 	 	 	S	 	 	 
MTBC_B	10362-05	ERR551276		S	S	S	 	 	 	S	 	 	 
MTBC_B	10363-05	ERR551313		S	S	S	 	 	 	S	 	 	 
MTBC_B	10392-11	ERR551040											
MTBC_B	10396-11	ERR551836		S	S	S	 	 	 	S	 	 	 
MTBC_B	10410-05	ERR551508		S	S	S	 	 	 	R	 	 	 
MTBC_B	10413-11	ERR552825											
MTBC_B	1042-05	ERR551803		S	S	S	 	 	 	S	 	 	 
MTBC_B	1043-05	ERR550653		S	S	S	 	 	 	S	 	 	 
MTBC_B	1043-09	ERR551257		S	S	S	 	 	 	S	 	 	 
MTBC_B	10433-12	ERR552941		S	S	S	 	 	 	S	 	 	 
MTBC_B	10461-10	ERR552502		S	S	S	 	 	 	S	 	 	 
MTBC_B	10468-07	ERR553196		S	S	S	 	 	 	S	 	 	 
MTBC_B	1047-07	ERR552220		S	S	S	 	 	 	S	 	 	 
MTBC_B	10471-07	ERR552736		S	S	S	 	 	 	S	 	 	 
MTBC_B	10480-10	ERR553076		S	S	S	 	 	 	S	 	 	 
MTBC_B	10481-10	ERR550698		S	R	S	 	 	 	R	 	 	 
MTBC_B	1049-02	ERR552238;ERR552239;ERR552240		R	R	R	 	 	 	R	 	 	 
MTBC_B	10498-05	ERR551178		S	S	S	 	 	 	S	 	 	 
MTBC_B	1050-08	ERR551716		S	S	S	 	 	 	S	 	 	 
MTBC_B	10527-05	ERR551697;ERR551698		R	R	R	 	R	R	R	 	 	S
MTBC_B	10529-05	ERR550887;ERR550886		R	R	R	 	 	R	R	 	 	S
MTBC_B	10530-05	ERR552906;ERR552907		R	R	R	 	S	S	R	 	 	S
MTBC_B	10531-05	ERR551138;ERR551137		R	R	R	 	S	S	R	 	 	S
MTBC_B	10531-09	ERR552051		S	S	S	 	 	 	S	 	 	 
MTBC_B	10532-05	ERR550923;ERR550922		R	R	R	 	S	S	R	 	 	S
MTBC_B	10533-05	ERR553217;ERR553218		R	R	R	 	R	R	R	 	 	S
MTBC_B	10535-06	ERR550764		R	R	S	 	 	 	R	 	 	 
MTBC_B	10536-05	ERR552200;ERR552199		R	R	S	 	S	S	R	 	 	S
MTBC_B	10539-05	ERR552377;ERR552376		R	R	R	 	R	R	R	 	 	S
MTBC_B	10539-12	ERR551489		S	S	S	 	 	 	S	 	 	 
MTBC_B	10540-05	ERR552104;ERR552103		R	R	R	 	S	S	R	 	 	S
MTBC_B	10546-12	ERR551095		S	S	S	 	 	 	S	 	 	 
MTBC_B	10549-06	ERR552886		S	S	S	 	 	 	S	 	 	 
MTBC_B	10562-08	ERR552898		S	S	S	 	 	 	S	 	 	 
MTBC_B	10564-01	ERR552363;ERR552362;ERR552364		R	R	S	 	 	 	R	 	 	 
MTBC_B	10567-10	ERR551846		S	S	S	 	 	 	R	 	 	 
MTBC_B	10574-08	ERR552050		S	S	S	 	 	 	S	 	 	 
MTBC_B	10574-09	ERR551269		S	S	S	 	 	 	S	 	 	 
MTBC_B	10583-07	ERR552320		S	S	S	 	 	 	S	 	 	 
MTBC_B	10584-09	ERR551538		S	S	S	 	 	 	R	 	 	 
MTBC_B	10596-05	ERR552846		S	S	S	 	 	 	S	 	 	 
MTBC_B	1062-02	ERR551468;ERR551469		R	R	R	 	 	 	R	 	 	 
MTBC_B	10622-09	ERR553138		S	S	S	 	 	 	S	 	 	 
MTBC_B	10641-08	ERR552317		S	S	S	 	 	 	S	 	 	 
MTBC_B	10672-10	ERR551900		S	S	S	 	 	 	S	 	 	 
MTBC_B	10701-08	ERR551462		S	R	S	 	 	 	R	 	 	 
MTBC_B	10714-06	ERR553056		S	S	S	 	 	 	S	 	 	 
MTBC_B	10718-09	ERR551294		S	S	S	 	 	 	S	 	 	 
MTBC_B	10729-12	ERR552961											
MTBC_B	10730-04	ERR553194;ERR553195		R	R	R	 	S	S	R	 	 	S
MTBC_B	10732-04	ERR553153;ERR553152		R	R	R	 	S	S	R	 	 	S
MTBC_B	10734-04	ERR553139		R	R	S	 	S	S	R	 	 	S
MTBC_B	10734-09	ERR550650		S	S	S	 	 	 	S	 	 	 
MTBC_B	10735-04	ERR551638;ERR551637		R	R	R	 	S	S	R	 	 	S
MTBC_B	10736-04	ERR552586;ERR552585		R	R	R	 	S	S	R	 	 	S
MTBC_B	10738-04	ERR552982;ERR552983		R	R	R	 	R	R	R	 	 	S
MTBC_B	10836-09	ERR552090		R	R	S	 	 	 	R	 	 	 
MTBC_B	10849-11	ERR551266		S	S	S	 	 	 	S	 	 	 
MTBC_B	10864-08	ERR550997		S	S	S	 	 	 	S	 	 	 
MTBC_B	10874-11	ERR552591		S	S	S	 	 	 	S	 	 	 
MTBC_B	10920-11	ERR551563											
MTBC_B	10932-10	ERR550876		S	S	S	 	 	 	S	 	 	 
MTBC_B	10974-11	ERR551479		S	S	S	 	 	 	S	 	 	 
MTBC_B	1103-06	ERR552030		S	R	S	 	 	 	S	 	 	 
MTBC_B	11048-07	ERR551302		S	S	S	 	 	 	S	 	 	 
MTBC_B	11056-12	ERR551856		S	S	S	 	 	 	S	 	 	 
MTBC_B	1110-07	ERR551917		S	S	S	 	 	 	S	 	 	 
MTBC_B	11135-07	ERR550689		S	S	S	 	 	 	S	 	 	 
MTBC_B	11156-07	ERR550878		S	S	S	 	 	 	R	 	 	 
MTBC_B	11198-11	ERR550820		S	S	S	 	 	 	S	 	 	 
MTBC_B	11216-12	ERR552552											
MTBC_B	11219-12	ERR553245		S	S	S	 	 	 	S	 	 	 
MTBC_B	11233-10	ERR552608		S	S	S	 	 	 	S	 	 	 
MTBC_B	11244-08	ERR553109		S	S	S	 	 	 	S	 	 	 
MTBC_B	11306-09	ERR550877		S	S	S	 	 	 	S	 	 	 
MTBC_B	1131-10	ERR551476		S	S	S	 	 	 	S	 	 	 
MTBC_B	11324-10	ERR552702											
MTBC_B	11331-06	ERR551703		S	S	S	 	 	 	S	 	 	 
MTBC_B	11361-03	ERR551342;ERR551343		R	R	R	 	S	S	R	 	 	S
MTBC_B	11362-03	ERR551130;ERR551131		R	R	R	 	R	S	R	 	 	S
MTBC_B	11365-03	ERR550651;ERR550652		R	R	R	 	S	S	R	 	 	S
MTBC_B	11366-03	ERR553169;ERR553168		R	R	R	 	S	S	R	 	 	S
MTBC_B	11368-07	ERR550742		S	S	S	 	 	 	S	 	 	 
MTBC_B	1137-10	ERR552852		S	S	S	 	 	 	S	 	 	 
MTBC_B	11372-03	ERR553188;ERR553189;ERR553190		R	R	R	 	S	S	R	 	 	S
MTBC_B	11404-09	ERR551691		S	S	S	 	 	 	S	 	 	 
MTBC_B	11406-08	ERR551498		S	S	S	 	 	 	S	 	 	 
MTBC_B	11429-10	ERR552292		S	S	S	 	 	 	S	 	 	 
MTBC_B	11430-10	ERR552334		S	S	S	 	 	 	R	 	 	 
MTBC_B	11467-12	ERR553341		S	S	S	 	 	 	S	 	 	 
