comid	country
C00005406	UK
C00005407	UK
C00005408	UK
C00005409	UK
C00005410	UK
C00005411	UK
C00005412	UK
C00005413	UK
C00005414	UK
C00005415	UK
C00005416	UK
C00005417	UK
C00005418	UK
C00005419	UK
C00005420	UK
C00005421	UK
C00005422	UK
C00005423	UK
C00005425	UK
C00005426	UK
C00005428	UK
C00005429	UK
C00005430	UK
C00005432	UK
C00005435	UK
C00005438	UK
C00005439	UK
C00005440	UK
C00005442	UK
C00005443	UK
C00005445	UK
C00005446	UK
C00005448	UK
C00005449	UK
C00005450	UK
C00005451	UK
C00005452	UK
C00005453	UK
C00005454	UK
C00005455	UK
C00005456	UK
C00005457	UK
C00005458	UK
C00005459	UK
C00005460	UK
C00005461	UK
C00005462	UK
C00005463	UK
C00005464	UK
C00005465	UK
C00005466	UK
C00005467	UK
C00005468	UK
C00005469	UK
C00005470	UK
C00005471	UK
C00005472	UK
C00005473	UK
C00005474	UK
C00005475	UK
C00005476	UK
C00005477	UK
C00005478	UK
C00005480	UK
C00005481	UK
C00005482	UK
C00005483	UK
C00005484	UK
C00005485	UK
C00005486	UK
C00005487	UK
C00005488	UK
C00005489	UK
C00005490	UK
C00005492	UK
C00005493	UK
C00005494	UK
C00005495	UK
C00005496	UK
C00005498	UK
C00005499	UK
C00005500	UK
C00005501	UK
C00005502	UK
C00005503	UK
C00005504	UK
C00005505	UK
C00005506	UK
C00005507	UK
C00005508	UK
C00005509	UK
C00005510	UK
C00005511	UK
C00005512	UK
C00005513	UK
C00005514	UK
C00005515	UK
C00005516	UK
C00005517	UK
C00005518	UK
C00005519	UK
C00005520	UK
C00005522	UK
C00005523	UK
C00005524	UK
C00005525	UK
C00005526	UK
C00005527	UK
C00005528	UK
C00005529	UK
C00005530	UK
C00005531	UK
C00005532	UK
C00005533	UK
C00005534	UK
C00005535	UK
C00005537	UK
C00005538	UK
C00005539	UK
C00005540	UK
C00005541	UK
C00005542	UK
C00005543	UK
C00005544	UK
C00005545	UK
C00005546	UK
C00005547	UK
C00005548	UK
C00005549	UK
C00005550	UK
C00005551	UK
C00007129	UK
C00007141	UK
C00007265	UK
C00007267	UK
C00007268	UK
C00007269	UK
C00007270	UK
C00007271	UK
C00007272	UK
C00007273	UK
C00007274	UK
C00007275	UK
C00007276	UK
C00007277	UK
C00007278	UK
C00007279	UK
C00007280	UK
C00007282	UK
C00007283	UK
C00007284	UK
C00007285	UK
C00007286	UK
C00007287	UK
C00007288	UK
C00007289	UK
C00007290	UK
C00007291	UK
C00007292	UK
C00007293	UK
C00007294	UK
C00007295	UK
C00007296	UK
C00007297	UK
C00007298	UK
C00007299	UK
C00007300	UK
C00007301	UK
C00007302	UK
C00007303	UK
C00007304	UK
C00007306	UK
C00007307	UK
C00007308	UK
C00007309	UK
C00007310	UK
C00007311	UK
C00007312	UK
C00007313	UK
C00007314	UK
C00007315	UK
C00007316	UK
C00007318	UK
C00007319	UK
C00007320	UK
C00007321	UK
C00007322	UK
C00007323	UK
C00007324	UK
C00007325	UK
C00007326	UK
C00007327	UK
C00007328	UK
C00007329	UK
C00007330	UK
C00007331	UK
C00007333	UK
C00007334	UK
C00007335	UK
C00007339	UK
C00007340	UK
C00007341	UK
C00007342	UK
C00007343	UK
C00007344	UK
C00007345	UK
C00007346	UK
C00007347	UK
C00007348	UK
C00007355	UK
C00007356	UK
C00007560	UK
C00007565	UK
C00007566	UK
C00007569	UK
C00007570	UK
C00008671	UK
C00008672	UK
C00008675	UK
C00008676	UK
C00008677	UK
C00008678	UK
C00008679	UK
C00008680	UK
C00008681	UK
C00008682	UK
C00008683	UK
C00008684	UK
C00008687	UK
C00008688	UK
C00008689	UK
C00008690	UK
C00008691	UK
C00008692	UK
C00008694	UK
C00008695	UK
C00008696	UK
C00008699	UK
C00008700	UK
C00008701	UK
C00008702	UK
C00008703	UK
C00008704	UK
C00008705	UK
C00008706	UK
C00008707	UK
C00008708	UK
C00008709	UK
C00008711	UK
C00008712	UK
C00008713	UK
C00008714	UK
C00008716	UK
C00008717	UK
C00008718	UK
C00008719	UK
C00008720	UK
C00008721	UK
C00008722	UK
C00008723	UK
C00008725	UK
C00008726	UK
C00008727	UK
C00008728	UK
C00008729	UK
C00008731	UK
C00008732	UK
C00008733	UK
C00008734	UK
C00008735	UK
C00008736	UK
C00008737	UK
C00008738	UK
C00008739	UK
C00008740	UK
C00008741	UK
C00008742	UK
C00008743	UK
C00008744	UK
C00008745	UK
C00008746	UK
C00008747	UK
C00008748	UK
C00008749	UK
C00008750	UK
C00008751	UK
C00008752	UK
C00008753	UK
C00008754	UK
C00008755	UK
C00008756	UK
C00008757	UK
C00008758	UK
C00008759	UK
C00008760	UK
C00008762	UK
C00008765	UK
C00008766	UK
C00008767	UK
C00008768	UK
C00008769	UK
C00008770	UK
C00008771	UK
C00008772	UK
C00008773	UK
C00008774	UK
C00008776	UK
C00008777	UK
C00008778	UK
C00008779	UK
C00008781	UK
C00008782	UK
C00008783	UK
C00008784	UK
C00008785	UK
C00008786	UK
C00008787	UK
C00008788	UK
C00008789	UK
C00008790	UK
C00008791	UK
C00008793	UK
C00008794	UK
C00008795	UK
C00008796	UK
C00008797	UK
C00008798	UK
C00008799	UK
C00008800	UK
C00008801	UK
C00008804	UK
C00008805	UK
C00008806	UK
C00008807	UK
C00008808	UK
C00008809	UK
C00008810	UK
C00008811	UK
C00008812	UK
C00008813	UK
C00008816	UK
C00008817	UK
C00008818	UK
C00008819	UK
C00008820	UK
C00008821	UK
C00008822	UK
C00008823	UK
C00008824	UK
C00008825	UK
C00008826	UK
C00008827	UK
C00008828	UK
C00008829	UK
C00008830	UK
C00008831	UK
C00008832	UK
C00008833	UK
C00008834	UK
C00008835	UK
C00008836	UK
C00008837	UK
C00008838	UK
C00008839	UK
C00008840	UK
C00008841	UK
C00008842	UK
C00008843	UK
C00008844	UK
C00008845	UK
C00008846	UK
C00008847	UK
C00008848	UK
C00008849	UK
C00008850	UK
C00008851	UK
C00008852	UK
C00008853	UK
C00008854	UK
C00008855	UK
C00008856	UK
C00008858	UK
C00008860	UK
C00008861	UK
C00008862	UK
C00008863	UK
C00008864	UK
C00008865	UK
C00008866	UK
C00008867	UK
C00008868	UK
C00008869	UK
C00008870	UK
C00008871	UK
C00008872	UK
C00008873	UK
C00008874	UK
C00008875	UK
C00008876	UK
C00008877	UK
C00008878	UK
C00008879	UK
C00008881	UK
C00008883	UK
C00008884	UK
C00008885	UK
C00008886	UK
C00008887	UK
C00008888	UK
C00008889	UK
C00008890	UK
C00008891	UK
C00008892	UK
C00008893	UK
C00008894	UK
C00008895	UK
C00008896	UK
C00008897	UK
C00008898	UK
C00008899	UK
C00008900	UK
C00008901	UK
C00008902	UK
C00008903	UK
C00008904	UK
C00008905	UK
C00008907	UK
C00008909	UK
C00008910	UK
C00008911	UK
C00008912	UK
C00008913	UK
C00008914	UK
C00008915	UK
C00008916	UK
C00008917	UK
C00008918	UK
C00008919	UK
C00008920	UK
C00008921	UK
C00008922	UK
C00008923	UK
C00008924	UK
C00008925	UK
C00008926	UK
C00008927	UK
C00008928	UK
C00008929	UK
C00008930	UK
C00008931	UK
C00008932	UK
C00008933	UK
C00008934	UK
C00008936	UK
C00008937	UK
C00009037	UK
C00009055	UK
C00009070	UK
C00009072	UK
C00009079	UK
C00009080	UK
C00009088	UK
C00009092	UK
C00009094	UK
C00009095	UK
C00009104	UK
C00009110	UK
C00009113	UK
C00009116	UK
C00009122	UK
C00009128	UK
C00010177	UK
C00010178	UK
C00010179	UK
C00010180	UK
C00010182	UK
C00010185	UK
C00010186	UK
C00010187	UK
C00010188	UK
C00010189	UK
C00010190	UK
C00010191	UK
C00010192	UK
C00010193	UK
C00010194	UK
C00010195	UK
C00010196	UK
C00010197	UK
C00010199	UK
C00010200	UK
C00010201	UK
C00010202	UK
C00010203	UK
C00010204	UK
C00010205	UK
C00010206	UK
C00010208	UK
C00010209	UK
C00010210	UK
C00010212	UK
C00010215	UK
C00010216	UK
C00010217	UK
C00010218	UK
C00010219	UK
C00010220	UK
C00010222	UK
C00010223	UK
C00010224	UK
C00010225	UK
C00010227	UK
C00010228	UK
C00010229	UK
C00010230	UK
C00010231	UK
C00010232	UK
C00010233	UK
C00010234	UK
C00010235	UK
C00010237	UK
C00010238	UK
C00010239	UK
C00010240	UK
C00010241	UK
C00010242	UK
C00010243	UK
C00010244	UK
C00010245	UK
C00010248	UK
C00010249	UK
C00010250	UK
C00010251	UK
C00010253	UK
C00010254	UK
C00010255	UK
C00010256	UK
C00010257	UK
C00010258	UK
C00010259	UK
C00010260	UK
C00010261	UK
C00010262	UK
C00010263	UK
C00010264	UK
C00010265	UK
C00010266	UK
C00010267	UK
C00010269	UK
C00010270	UK
C00010271	UK
C00010272	UK
C00010465	UK
C00010466	UK
C00010467	UK
C00010469	UK
C00010470	UK
C00010471	UK
C00010472	UK
C00010473	UK
C00010474	UK
C00010475	UK
C00010477	UK
C00010479	UK
C00010480	UK
C00010481	UK
C00010482	UK
C00010483	UK
C00010484	UK
C00010485	UK
C00010486	UK
C00010487	UK
C00010488	UK
C00010489	UK
C00010490	UK
C00010491	UK
C00010492	UK
C00010494	UK
C00010496	UK
C00010497	UK
C00010498	UK
C00010499	UK
C00010500	UK
C00010501	UK
C00010502	UK
C00010503	UK
C00010504	UK
C00010505	UK
C00010506	UK
C00010507	UK
C00010508	UK
C00010509	UK
C00010510	UK
C00010511	UK
C00010514	UK
C00010515	UK
C00010516	UK
C00010518	UK
C00010519	UK
C00010521	UK
C00010522	UK
C00010523	UK
C00010525	UK
C00010526	UK
C00010530	UK
C00010532	UK
C00010533	UK
C00010534	UK
C00010535	UK
C00010536	UK
C00010537	UK
C00010539	UK
C00010540	UK
C00010541	UK
C00010542	UK
C00010543	UK
C00010544	UK
C00010547	UK
C00010548	UK
C00010549	UK
C00010550	UK
C00010553	UK
C00010557	UK
C00010558	UK
C00010559	UK
C00010560	UK
C00011366	UK
C00011374	UK
C00011375	UK
C00011381	UK
C00011384	UK
C00011385	UK
C00011389	UK
C00011391	UK
C00011394	UK
C00011396	UK
C00011401	UK
C00011403	UK
C00011404	UK
C00011405	UK
C00011407	UK
C00011408	UK
C00011409	UK
C00011410	UK
C00011411	UK
C00011412	UK
C00011414	UK
C00011415	UK
C00011416	UK
C00011418	UK
C00011419	UK
C00011420	UK
C00011421	UK
C00011422	UK
C00011423	UK
C00011424	UK
C00011425	UK
C00011426	UK
C00011427	UK
C00011428	UK
C00011429	UK
C00011430	UK
C00011431	UK
C00011432	UK
C00011433	UK
C00011434	UK
C00011435	UK
C00011436	UK
C00011438	UK
C00011441	UK
C00011442	UK
C00011443	UK
C00011444	UK
C00011445	UK
C00011446	UK
C00011447	UK
C00011448	UK
C00011449	UK
C00011451	UK
C00011452	UK
C00011453	UK
C00011454	UK
C00011455	UK
C00011456	UK
C00011457	UK
C00011458	UK
C00011459	UK
C00012637	UK
C00012638	UK
C00012868	UK
C00012869	UK
C00012870	UK
C00012871	UK
C00012872	UK
C00012873	UK
C00012874	UK
C00012875	UK
C00012876	UK
C00012877	UK
C00012878	UK
C00012879	UK
C00012881	UK
C00012882	UK
C00012884	UK
C00012885	UK
C00012886	UK
C00012887	UK
C00012888	UK
C00012889	UK
C00012890	UK
C00012891	UK
C00012892	UK
C00012893	UK
C00012894	UK
C00012895	UK
C00012896	UK
C00012897	UK
C00012899	UK
C00012900	UK
C00012901	UK
C00012902	UK
C00012903	UK
C00012904	UK
C00012905	UK
C00012906	UK
C00012907	UK
C00012908	UK
C00012909	UK
C00012910	UK
C00012912	UK
C00012913	UK
C00012915	UK
C00012916	UK
C00012917	UK
C00012918	UK
C00012919	UK
C00012920	UK
C00012921	UK
C00012922	UK
C00012923	UK
C00012924	UK
C00012925	UK
C00012927	UK
C00012928	UK
C00012929	UK
C00012930	UK
C00012931	UK
C00012933	UK
C00012934	UK
C00012935	UK
C00012936	UK
C00012937	UK
C00012938	UK
C00012939	UK
C00012940	UK
C00012941	UK
C00012942	UK
C00012943	UK
C00012944	UK
C00012945	UK
C00012946	UK
C00012947	UK
C00012948	UK
C00012949	UK
C00012950	UK
C00012951	UK
C00012952	UK
C00012953	UK
C00012954	UK
C00012955	UK
C00012956	UK
C00012957	UK
C00012958	UK
C00012959	UK
C00012960	UK
C00012961	UK
C00012962	UK
C00012963	UK
C00012964	UK
C00012965	UK
C00012966	UK
C00012967	UK
C00012968	UK
C00012969	UK
C00012970	UK
C00012971	UK
C00012972	UK
C00012973	UK
C00012974	UK
C00012975	UK
C00012977	UK
C00012980	UK
C00012981	UK
C00012982	UK
C00012983	UK
C00012984	UK
C00012985	UK
C00012986	UK
C00012987	UK
C00012988	UK
C00012989	UK
C00012990	UK
C00012991	UK
C00012992	UK
C00012993	UK
C00012994	UK
C00012995	UK
C00012996	UK
C00012997	UK
C00012998	UK
C00012999	UK
C00013000	UK
C00013001	UK
C00013002	UK
C00013003	UK
C00013004	UK
C00013005	UK
C00013006	UK
C00013007	UK
C00013008	UK
C00013009	UK
C00013010	UK
C00013011	UK
C00013012	UK
C00013013	UK
C00013014	UK
C00013015	UK
C00013016	UK
C00013017	UK
C00013018	UK
C00013019	UK
C00013020	UK
C00013021	UK
C00013022	UK
C00013023	UK
C00013024	UK
C00013025	UK
C00013026	UK
C00013027	UK
C00013028	UK
C00013029	UK
C00013030	UK
C00013031	UK
C00013032	UK
C00013033	UK
C00013034	UK
C00013035	UK
C00013036	UK
C00013037	UK
C00013038	UK
C00013039	UK
C00013040	UK
C00013041	UK
C00013042	UK
C00013044	UK
C00013045	UK
C00013046	UK
C00013047	UK
C00013048	UK
C00013049	UK
C00013050	UK
C00013052	UK
C00013053	UK
C00013054	UK
C00013055	UK
C00013056	UK
C00013057	UK
C00013058	UK
C00013059	UK
C00013060	UK
C00013061	UK
C00013062	UK
C00013063	UK
C00013064	UK
C00013065	UK
C00013066	UK
C00013067	UK
C00013068	UK
C00013069	UK
C00013070	UK
C00013071	UK
C00013073	UK
C00013074	UK
C00013076	UK
C00013077	UK
C00013078	UK
C00013079	UK
C00013080	UK
C00013081	UK
C00013082	UK
C00013083	UK
C00013084	UK
C00013085	UK
C00013087	UK
C00013088	UK
C00013089	UK
C00013090	UK
C00013091	UK
C00013092	UK
C00013093	UK
C00013094	UK
C00013095	UK
C00013096	UK
C00013097	UK
C00013098	UK
C00013099	UK
C00013100	UK
C00013101	UK
C00013102	UK
C00013103	UK
C00013104	UK
C00013105	UK
C00013106	UK
C00013107	UK
C00013108	UK
C00013109	UK
C00013110	UK
C00013111	UK
C00013112	UK
C00013113	UK
C00013114	UK
C00013115	UK
C00013116	UK
C00013117	UK
C00013118	UK
C00013119	UK
C00013120	UK
C00013121	UK
C00013122	UK
C00013123	UK
C00013124	UK
C00013125	UK
C00013126	UK
C00013127	UK
C00013128	UK
C00013130	UK
C00013131	UK
C00013132	UK
C00013133	UK
C00013134	UK
C00013135	UK
C00013136	UK
C00013137	UK
C00013138	UK
C00013139	UK
C00013140	UK
C00013141	UK
C00013142	UK
C00013143	UK
C00013144	UK
C00013145	UK
C00013146	UK
C00013147	UK
C00013148	UK
C00013149	UK
C00013150	UK
C00013151	UK
C00013152	UK
C00013153	UK
C00013154	UK
C00013155	UK
C00014433	UK
C00014537	UK
C00014539	UK
C00014540	UK
C00014541	UK
C00014542	UK
C00014543	UK
C00014544	UK
C00014545	UK
C00014546	UK
C00014547	UK
C00014548	UK
C00014549	UK
C00014550	UK
C00014551	UK
C00014552	UK
C00014553	UK
C00014554	UK
C00014555	UK
C00014557	UK
C00014558	UK
C00014559	UK
C00014560	UK
C00014561	UK
C00014562	UK
C00014563	UK
C00014565	UK
C00014566	UK
C00014567	UK
C00014568	UK
C00014569	UK
C00014570	UK
C00014571	UK
C00014572	UK
C00014573	UK
C00014574	UK
C00014577	UK
C00014578	UK
C00014579	UK
C00014581	UK
C00014582	UK
C00014583	UK
C00014584	UK
C00014585	UK
C00014586	UK
C00014587	UK
C00014588	UK
C00014589	UK
C00014590	UK
C00014592	UK
C00014593	UK
C00014594	UK
C00014596	UK
C00014597	UK
C00014598	UK
C00014599	UK
C00014600	UK
C00014601	UK
C00014602	UK
C00014603	UK
C00014604	UK
C00014605	UK
C00014606	UK
C00014607	UK
C00014608	UK
C00014609	UK
C00014610	UK
C00014612	UK
C00014613	UK
C00014614	UK
C00014615	UK
C00014616	UK
C00014617	UK
C00014618	UK
C00014619	UK
C00014620	UK
C00014621	UK
C00014622	UK
C00014623	UK
C00014624	UK
C00014626	UK
C00014627	UK
C00014628	UK
C00014629	UK
C00014630	UK
C00014631	UK
C00014729	UK
C00014730	UK
C00014731	UK
C00014732	UK
C00014733	UK
C00014734	UK
C00014735	UK
C00014736	UK
C00014737	UK
C00014739	UK
C00014740	UK
C00014741	UK
C00014742	UK
C00014743	UK
C00014744	UK
C00014745	UK
C00014748	UK
C00014749	UK
C00014750	UK
C00014751	UK
C00014752	UK
C00014753	UK
C00014754	UK
C00014759	UK
C00014760	UK
C00014762	UK
C00014763	UK
C00014765	UK
C00014766	UK
C00014767	UK
C00014768	UK
C00014769	UK
C00014770	UK
C00014771	UK
C00014772	UK
C00014773	UK
C00014774	UK
C00014775	UK
C00014776	UK
C00014777	UK
C00014778	UK
C00014779	UK
C00014780	UK
C00014781	UK
C00014782	UK
C00014783	UK
C00014784	UK
C00014785	UK
C00014786	UK
C00014787	UK
C00014788	UK
C00014789	UK
C00014791	UK
C00014792	UK
C00014793	UK
C00014794	UK
C00014795	UK
C00014796	UK
C00014798	UK
C00014799	UK
C00014800	UK
C00014801	UK
C00014802	UK
C00014803	UK
C00014804	UK
C00014805	UK
C00014806	UK
C00014807	UK
C00014808	UK
C00014809	UK
C00014810	UK
C00014811	UK
C00014813	UK
C00014814	UK
C00014816	UK
C00014818	UK
C00014819	UK
C00014820	UK
C00014821	UK
C00014822	UK
C00014823	UK
C00014824	UK
C00014836	UK
C00014837	UK
C00014838	UK
C00014839	UK
C00014840	UK
C00014841	UK
C00014843	UK
C00014844	UK
C00014845	UK
C00014846	UK
C00014847	UK
C00014848	UK
C00014849	UK
C00014850	UK
C00014851	UK
C00014852	UK
C00014853	UK
C00014854	UK
C00014855	UK
C00014856	UK
C00014858	UK
C00014859	UK
C00014860	UK
C00014861	UK
C00014862	UK
C00014863	UK
C00014864	UK
C00014865	UK
C00014866	UK
C00014867	UK
C00014868	UK
C00014869	UK
C00014870	UK
C00014871	UK
C00014872	UK
C00014873	UK
C00014874	UK
C00014875	UK
C00014876	UK
C00014877	UK
C00014879	UK
C00014880	UK
C00014883	UK
C00014885	UK
C00014888	UK
C00014889	UK
C00014890	UK
C00014891	UK
C00014892	UK
C00014893	UK
C00014894	UK
C00014895	UK
C00014896	UK
C00014897	UK
C00014898	UK
C00014899	UK
C00014900	UK
C00014901	UK
C00014902	UK
C00014905	UK
C00014908	UK
C00014913	UK
C00014914	UK
C00014917	UK
C00014918	UK
C00014919	UK
C00014920	UK
C00014921	UK
C00014922	UK
C00014923	UK
C00014924	UK
C00014925	UK
C00014926	UK
C00014927	UK
C00014928	UK
C00014929	UK
C00014930	UK
C00014931	UK
C00014932	UK
C00014933	UK
C00014934	UK
C00014935	UK
C00014936	UK
C00014937	UK
C00014938	UK
C00014939	UK
C00014940	UK
C00014941	UK
C00014942	UK
C00014943	UK
C00014944	UK
C00014945	UK
C00014946	UK
C00014947	UK
C00014948	UK
C00014949	UK
C00014950	UK
C00014951	UK
C00014953	UK
C00014954	UK
C00014955	UK
C00014956	UK
C00014957	UK
C00014958	UK
C00014959	UK
C00014960	UK
C00014961	UK
C00014962	UK
C00014963	UK
C00014964	UK
C00014965	UK
C00014966	UK
C00014967	UK
C00014968	UK
C00014969	UK
C00014970	UK
C00014971	UK
C00014973	UK
C00014974	UK
C00014976	UK
C00014977	UK
C00014980	UK
C00014982	UK
C00014983	UK
C00014984	UK
C00014985	UK
C00014987	UK
C00014988	UK
C00014989	UK
C00014990	UK
C00014991	UK
C00014992	UK
C00014993	UK
C00014994	UK
C00014999	UK
C00015000	UK
C00015001	UK
C00015003	UK
C00015005	UK
C00015006	UK
C00015007	UK
C00015008	UK
C00015009	UK
C00015010	UK
C00015011	UK
C00015012	UK
C00015013	UK
C00015014	UK
C00015015	UK
C00015016	UK
C00015017	UK
C00015018	UK
C00015021	UK
C00015022	UK
C00015023	UK
C00015024	UK
C00015025	UK
C00015026	UK
C00015027	UK
C00015221	UK
C00016493	UK
C00016494	UK
C00016496	UK
C00016497	UK
C00016499	UK
C00016500	UK
C00016501	UK
C00016502	UK
C00016504	UK
C00016505	UK
C00016507	UK
C00016508	UK
C00016509	UK
C00016517	UK
C00016523	UK
C00016524	UK
C00016526	UK
C00016527	UK
C00016528	UK
C00016529	UK
C00016530	UK
C00016532	UK
C00016533	UK
C00016534	UK
C00016535	UK
C00016536	UK
C00016539	UK
C00016540	UK
C00016541	UK
C00016542	UK
C00016543	UK
C00016544	UK
C00016545	UK
C00016548	UK
C00016550	UK
C00016551	UK
C00016552	UK
C00016553	UK
C00016554	UK
C00016555	UK
C00016557	UK
C00016558	UK
C00016559	UK
C00016560	UK
C00016561	UK
C00016562	UK
C00016564	UK
C00016567	UK
C00016568	UK
C00016569	UK
C00016574	UK
C00016576	UK
C00016580	UK
C00016581	UK
C00016582	UK
C00016583	UK
C00016586	UK
C00016587	UK
C00016593	UK
C00016595	UK
C00016599	UK
C00016600	UK
C00016601	UK
C00016603	UK
C00016605	UK
C00016849	UK
C00016850	UK
C00016851	UK
C00016852	UK
C00016853	UK
C00016854	UK
C00016855	UK
C00016856	UK
C00016857	UK
C00016858	UK
C00016859	UK
C00016860	UK
C00016861	UK
C00016862	UK
C00016863	UK
C00016864	UK
C00016865	UK
C00016866	UK
C00016867	UK
C00016868	UK
C00016869	UK
C00016870	UK
C00016871	UK
C00016872	UK
C00016873	UK
C00016874	UK
C00016875	UK
C00016876	UK
C00016877	UK
C00016878	UK
C00016879	UK
C00016880	UK
C00016881	UK
C00016882	UK
C00016883	UK
C00016884	UK
C00016885	UK
C00016886	UK
C00016887	UK
C00016888	UK
C00016889	UK
C00016890	UK
C00016891	UK
C00016892	UK
C00016893	UK
C00016894	UK
C00016895	UK
C00016896	UK
C00016897	UK
C00016898	UK
C00016899	UK
C00016900	UK
C00016901	UK
C00016902	UK
C00016903	UK
C00016904	UK
C00016905	UK
C00016906	UK
C00016907	UK
C00016908	UK
C00016909	UK
C00016910	UK
C00016911	UK
C00016912	UK
C00016913	UK
C00016914	UK
C00016915	UK
C00016916	UK
C00016917	UK
C00016918	UK
C00016919	UK
C00016920	UK
C00016921	UK
C00016922	UK
C00016923	UK
C00016924	UK
C00016925	UK
C00016926	UK
C00016927	UK
C00016928	UK
C00016929	UK
C00016930	UK
C00016931	UK
C00016932	UK
C00016933	UK
C00016934	UK
C00016935	UK
C00016936	UK
C00016937	UK
C00016938	UK
C00016939	UK
C00016940	UK
C00016941	UK
C00016942	UK
C00016943	UK
C00016944	UK
C00017917	UK
C00017918	UK
C00017919	UK
C00017921	UK
C00017922	UK
C00017923	UK
C00017924	UK
C00017925	UK
C00017926	UK
C00017927	UK
C00017928	UK
C00017929	UK
C00017930	UK
C00017931	UK
C00017932	UK
C00017933	UK
C00017934	UK
C00017935	UK
C00017936	UK
C00017937	UK
C00017938	UK
C00017939	UK
C00017940	UK
C00017941	UK
C00017942	UK
C00017943	UK
C00017944	UK
C00017945	UK
C00017946	UK
C00017947	UK
C00017948	UK
C00017949	UK
C00017950	UK
C00017951	UK
C00017952	UK
C00017953	UK
C00017954	UK
C00017955	UK
C00017956	UK
C00017957	UK
C00017958	UK
C00017959	UK
C00017960	UK
C00017961	UK
C00017962	UK
C00017963	UK
C00017964	UK
C00017965	UK
C00017966	UK
C00017967	UK
C00017968	UK
C00017969	UK
C00017970	UK
C00017971	UK
C00017973	UK
C00017974	UK
C00017975	UK
C00017976	UK
C00017977	UK
C00017978	UK
C00017979	UK
C00017980	UK
C00017981	UK
C00017982	UK
C00017983	UK
C00017984	UK
C00017985	UK
C00017986	UK
C00017987	UK
C00017988	UK
C00017989	UK
C00017990	UK
C00017991	UK
C00017992	UK
C00017993	UK
C00017994	UK
C00017995	UK
C00017996	UK
C00017997	UK
C00017998	UK
C00017999	UK
C00018000	UK
C00018001	UK
C00018002	UK
C00018003	UK
C00018004	UK
C00018005	UK
C00018006	UK
C00018007	UK
C00018008	UK
C00018009	UK
C00018010	UK
C00018011	UK
C00018012	UK
C00018799	UK
C00018800	UK
C00018802	UK
C00018803	UK
C00018804	UK
C00018805	UK
C00018807	UK
C00018808	UK
EI00643414-S8	South Afica
IF00020880-S26	South Afica
IF00020969-S32	South Afica
IF00079308-S20	South Afica
IF00079383-S27	South Afica
IF00079388-S23	South Afica
IF00091665-S7	South Afica
IF00091750-S10	South Afica
IF00091761-S29	South Afica
IF00112193-S1	South Afica
IF00129143-S32	South Afica
IF00133942-S34	South Afica
IF00133966-S10	South Afica
IF00140841-S30	South Afica
IK00109200-S24	South Afica
IK00109221-S12	South Afica
IK00117937-S5	South Afica
IK00170295-S8	South Afica
JC00167711-S2	South Afica
JC00167713-S9	South Afica
JC00167714-S1	South Afica
LA00001073-S2	South Afica
MG00235575-S17	South Afica
MG00255827-S9	South Afica
MG00279768-S21	South Afica
MG00304956-S25	South Afica
OR00050580-S5	South Afica
PK00487346-S13	South Afica
PK00499135-S21	South Afica
PS00227738-S22	South Afica
PS00229629-S23	South Afica
PS00245642-S10	South Afica
RG00148290-S22	South Afica
RG00149801-S4	South Afica
RG00151067-S2	South Afica
RG00152541-S19	South Afica
RG00153143-S11	South Afica
TRL0015859-S14	South Afica
TRL0015867-S26	South Afica
TRL0015869-S1	South Afica
TRL0015960	South Afica
TRL0016066-S14	South Afica
TRL0016080-S31	South Afica
TRL0016087-S13	South Afica
TRL0016098-S12	South Afica
TRL0016123	South Afica
TRL0016130-S22	South Afica
TRL0016174-S10	South Afica
TRL0016178-S14	South Afica
TRL0016199-S3	South Afica
TRL0016214-S1	South Afica
TRL0016219-S20	South Afica
TRL0016252-S12	South Afica
TRL0016256-S4	South Afica
TRL0016271-S12	South Afica
TRL0016301-S13	South Afica
TRL0016312-S1	South Afica
TRL0016321-S19	South Afica
TRL0016331-S16	South Afica
TRL0016341-S13	South Afica
TRL0016353-S19	South Afica
TRL0016408	South Afica
TRL0016409-S27	South Afica
TRL0016449	South Afica
TRL0016474	South Afica
TRL0016497-S2	South Afica
TRL0016503-S2	South Afica
TRL0016512-S10	South Afica
TRL0016521	South Afica
TRL0016541	South Afica
TRL0016549-S15	South Afica
TRL0016580	South Afica
TRL0016616-S26	South Afica
TRL0016622-S29	South Afica
TRL0016629	South Afica
TRL0016694	South Afica
TRL0016704-S3	South Afica
TRL0016724-S3	South Afica
TRL0016742-S47	South Afica
TRL0016761-S17	South Afica
TRL0016762	South Afica
TRL0016801-S20	South Afica
TRL0016813-S17	South Afica
TRL0016814-S44	South Afica
TRL0016882-S9	South Afica
TRL0017022-S1	South Afica
TRL0017025-S11	South Afica
TRL0017134-S11	South Afica
TRL0017152	South Afica
TRL0017228-S7	South Afica
TRL0017298	South Afica
TRL0017317-S4	South Afica
TRL0017365	South Afica
TRL0017519-S6	South Afica
TRL0017575	South Afica
TRL0017697-S18	South Afica
TRL0017721	South Afica
TRL0017740	South Afica
TRL0017757	South Afica
TRL0017766-S27	South Afica
TRL0017768-S8	South Afica
TRL0017809	South Afica
TRL0018039	South Afica
TRL0018072-S18	South Afica
TRL0018089-S9	South Afica
TRL0018169	South Afica
TRL0018178-S9	South Afica
TRL0018220-S2	South Afica
TRL0018266-S19	South Afica
TRL0018311	South Afica
TRL0018352-S3	South Afica
TRL0018360	South Afica
