comid	country
2383-05	Uzbekistan
2383-12	Germany
2384-05	Uzbekistan
2386-05	Uzbekistan
2388-11	Germany
2388-12	Germany
2389-05	Uzbekistan
2391-05	Uzbekistan
2391-06	Uzbekistan
2392-05	Uzbekistan
2393-05	Uzbekistan
2394-06	Uzbekistan
2396-05	Uzbekistan
2397-06	Uzbekistan
2398-06	Uzbekistan
2399-06	Uzbekistan
2402-06	Uzbekistan
2412-06	Germany
2439-10	Germany
2441-10	Germany
2463-07	Germany
2464-07	Germany
2466-07	Germany
2475-06	Germany
2491-08	Germany
2499-12	Germany
2501-08	Germany
2535-11	Germany
256-05	Germany
2564-08	Germany
2566-11	Germany
2582-12	Germany
2590-06	Germany
2592-06	Germany
2594-06	Germany
2602-12	Germany
262-11	Germany
2620-09	Germany
2637-09	Germany
2644-10	Germany
2645-10	Germany
2649-09	Germany
2651-10	Germany
2698-08	Germany
2707-10	Germany
2741-05	Germany
2758-11	Germany
277-12	Germany
2772-12	Germany
2793-05	Germany
2794-09	Germany
2839-11	Germany
2865-11	Germany
2867-11	Germany
2882-11	Germany
2898-12	Germany
2906-11	Germany
2926-11	Germany
2928-12	Germany
2942-12	Germany
2943-12	Germany
2951-08	Germany
2976-12	Germany
2982-11	Germany
2987-09	Germany
2989-06	Uzbekistan
2991-06	Uzbekistan
2994-06	Uzbekistan
2997-06	Uzbekistan
3003-06	Uzbekistan
3004-06	Uzbekistan
3009-04	Uzbekistan
3014-04	Uzbekistan
3014-08	Germany
3015-05	Germany
3015-08	Germany
3032-06	Germany
3055-05	Germany
3064-07	Germany
3082-05	Uzbekistan
3083-05	Uzbekistan
3084-05	Uzbekistan
3086-05	Uzbekistan
3087-05	Uzbekistan
3087-07	Germany
3088-06	Germany
3089-05	Uzbekistan
3109-11	Germany
3151-09	Germany
3154-04	Sierra Leone
3156-04	Sierra Leone
3158-04	Sierra Leone
3160-04	Sierra Leone
3176-05	Germany
3176-10	Germany
3222-06	Germany
3223-06	Germany
3230-06	Germany
3251-10	Germany
3258-07	Germany
3269-06	Germany
327-11	Germany
3270-10	Germany
3271-10	Germany
3274-11	Germany
329-09	Germany
329-10	Germany
33-11	Germany
3302-10	Germany
3304-10	Germany
3305-05	Germany
3306-05	Germany
3316-05	Germany
3323-10	Germany
333-08	Germany
335-10	Germany
3361-08	Germany
3362-12	Germany
3363-05	Germany
3364-09	Germany
3373-06	Germany
340-08	Germany
3417-10	Germany
3422-09	Germany
3431-07	Germany
3434-07	Germany
3435-06	Germany
3437-06	Germany
3443-08	Germany
3454-10	Germany
3468-05	Germany
3484-07	Germany
3491-04	Sierra Leone
3493-07	Germany
3494-04	Sierra Leone
3496-04	Sierra Leone
3496-10	Germany
3497-04	Sierra Leone
3498-11	Germany
3501-05	Germany
3502-11	Germany
3523-11	Germany
3529-10	Germany
353-09	Germany
3536-10	Germany
3543-05	Germany
3555-09	Germany
3561-07	Germany
3599-08	Germany
3603-10	Germany
3604-07	Germany
3604-10	Germany
3606-11	Germany
3615-12	Germany
3625-11	Germany
3630-05	Germany
3652-06	Germany
3657-05	Germany
3662-10	Germany
3665-10	Germany
3670-04	Uzbekistan
3671-04	Uzbekistan
3672-04	Uzbekistan
3675-04	Uzbekistan
