"Supplementary Dataset 3. R - Resistance, S - Susceptible"																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clonal Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_B1	C00001145	ERR410104	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001146	ERR410105	aureus	39	cc39	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001148	ERR410107	aureus	1	cc1	S	R	S	S	S	S	S	S	S	R		S
St_B1	C00001149	ERR410108	aureus	15	cc15	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001150	ERR410109	aureus	109	cc109	S	R	S	R	S	S	S	S	S	S		S
St_B1	C00001151	ERR410110	aureus	2441	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001152	ERR410111	aureus	1841	cc1841	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001153	ERR410112	aureus	8	cc8	S	R	S	S	S	S	S	R	S	S		S
St_B1	C00001154	ERR410113	aureus	2442	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001155	ERR410114	aureus	2450	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001156	ERR410115	aureus	30	cc30	S	R	S	R	S	S	S	S	S	S		S
St_B1	C00001157	ERR410116	aureus	2443	cc45	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001158	ERR410117	aureus	582	cc582	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001159	ERR410118	aureus	30	cc30	S	R	S	R	S	S	S	S	S	S		S
St_B1	C00001160	ERR410119	aureus	20	cc20	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001161	ERR410120	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001163	ERR410122	aureus	26	cc25	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001164	ERR410123	aureus	2444	cc39	S	S	S	S	S	S	S	S	S	R		S
St_B1	C00001165	ERR410124	aureus	25	cc25	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001178	ERS398037	aureus	5	cc5	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001179	ERS398038	aureus	5	cc5	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001180	ERS398039	aureus	5	cc5	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001181	ERS398040	aureus	5	cc5	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001182	ERS398041	aureus	5	cc5	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001183	ERS398042	aureus	5	cc5	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001184	ERS398043	aureus	5	cc5	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001185	ERS398044	aureus	5	cc5	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001186	ERS398045	aureus	5	cc5	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001187	ERS398046	aureus	46	NA	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001188	ERS398047	aureus	46	NA	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001190	ERS398049	aureus	22	cc22	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001191	ERS398050	aureus	22	cc22	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001192	ERS398051	aureus	NA	NA	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001193	ERS398052	aureus	22	cc22	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001194	ERS398053	aureus	NA	NA	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001195	ERS398054	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001196	ERS398055	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001197	ERS398056	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001198	ERS398057	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001199	ERS398058	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001200	ERS398059	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001201	ERS398060	aureus	36	cc30	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001202	ERS398061	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001203	ERS398062	aureus	NA	NA	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001204	ERS398063	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001205	ERS398064	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001206	ERS398065	aureus	NA	NA	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001207	ERS398066	aureus	30	cc30	S	R	S	R	S	S	S	S	S	S		S
St_B1	C00001208	ERS398067	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001209	ERS398068	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001210	ERS398069	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001211	ERS398070	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001212	ERS398071	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001213	ERS398072	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001214	ERS398073	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001216	ERS398075	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001217	ERS398076	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001218	ERS398077	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001219	ERS398078	aureus	22	cc22	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001220	ERS398079	aureus	NA	NA	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001221	ERS398080	aureus	22	cc22	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001223	ERS398082	aureus	NA	NA	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001224	ERS398083	aureus	NA	NA	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001225	ERS398084	aureus	22	cc22	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001226	ERS398085	aureus	22	cc22	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001227	ERS398086	aureus	22	cc22	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001228	ERS398087	aureus	22	cc22	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001229	ERS398088	aureus	22	cc22	S	R	S	S	R	R	S	S	S	S		S
St_B1	C00001230	ERS398089	aureus	22	cc22	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001231	ERS398090	aureus	22	cc22	S	R	S	S	S	R	S	S	S	S		S
St_B1	C00001232	ERS398091	aureus	22	cc22	S	R	S	S	R	R	S	S	S	S		S
St_B1	C00001233	ERS398092	aureus	22	cc22	S	R	S	S	R	R	S	S	S	S		S
St_B1	C00001234	ERS398093	aureus	22	cc22	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001235	ERS398094	aureus	22	cc22	S	R	S	S	R	R	S	S	S	R		S
St_B1	C00001236	ERS398095	aureus	22	cc22	S	R	S	S	R	R	S	S	S	S		S
St_B1	C00001237	ERS398096	aureus	22	cc22	S	R	R	R	R	R	S	S	S	S		S
St_B1	C00001238	ERS398097	aureus	22	cc22	S	R	S	S	S	R	S	S	S	S		S
St_B1	C00001239	ERS398098	aureus	22	cc22	S	R	S	S	R	R	S	S	S	S		S
St_B1	C00001240	ERS398099	aureus	22	cc22	S	R	S	S	R	R	S	S	S	S		S
St_B1	C00001241	ERS398100	aureus	30	cc30	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001242	ERS398101	aureus	25	cc25	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001243	ERS398102	aureus	25	cc25	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001244	ERS398103	aureus	25	cc25	S	R	S	S	S	S	S	R	S	R		S
St_B1	C00001245	ERS398104	aureus	25	cc25	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001246	ERS398105	aureus	NA	NA	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001248	ERS398107	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001250	ERS398109	aureus	NA	NA	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001251	ERS398110	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001252	ERS398111	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001253	ERS398112	aureus	2434	NA	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001254	ERS398113	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001255	ERS398114	aureus	22	cc22	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001256	ERS398115	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001257	ERS398116	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001258	ERS398117	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001260	ERS398119	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001262	ERS398120	aureus	188	NA	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001263	ERS398121	aureus	188	NA	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001264	ERS398122	aureus	188	NA	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001265	ERS398123	aureus	NA	NA	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001266	ERS398124	aureus	NA	NA	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001267	ERS398125	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001268	ERS398126	aureus	26	cc25	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001269	ERS398127	aureus	26	cc25	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001270	ERS398128	aureus	30	cc30	S	R	S	R	S	S	S	S	S	S		S
St_B1	C00001271	ERS398129	aureus	30	cc30	S	R	S	R	S	S	S	S	S	S		S
St_B1	C00001272	ERS398130	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001274	ERR410126	aureus	22	cc22	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001275	ERR410127	aureus	39	cc39	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00001277	ERR410129	aureus	2445	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001278	ERR410130	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001279	ERR410131	aureus	15	cc15	S	R	S	S	S	S	S	R	S	S		S
St_B1	C00001280	ERR410132	aureus	22	cc22	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001281	ERR410133	aureus	36	cc30	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00001282	ERR410134	aureus	22	cc22	S	R	S	S	R	R	S	S	S	S		S
St_B1	C00001283	ERR410135	aureus	15	cc15	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00001284	ERR410136	aureus	39	cc39	S	S	S	S	S	S	S	S	S	S		S
St_B1	C00002619	ERS398131	aureus	5	cc5	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00002620	ERS398132	aureus	15	cc15	S	R	S	S	S	S	S	R	S	S		S
St_B1	C00002621	ERS398133	aureus	25	cc25	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00002622	ERS398134	aureus	NA	NA	S	R	S	R	S	S	S	S	S	S		S
St_B1	C00002623	ERS398135	aureus	22	cc22	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00002624	ERS398136	aureus	22	cc22	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00002625	ERS398137	aureus	30	cc30	S	R	S	S	S	S	S	S	S	S		S
St_B1	C00002626	ERS398138	aureus	22	cc22	S	R	S	R	R	R	S	S	S	S		S
St_B1	C00012736	ERS398139	aureus	36	cc30	S	R		R	R	R	S	S	S	S		S
St_B1	C00012737	ERS398140	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_B1	C00012738	ERS398141	aureus	125	NA	R	R		R	R	R	S	S	R	S		S
St_B1	C00012739	ERS398142	aureus	36	cc30	R	R		R	R	R	S	S	R	S	R	S
St_B1	C00012740	ERS398143	aureus	22	cc22	S	R		R	R	R	S	S	S	S		S
St_B1	C00012741	ERS398144	aureus	NA	NA	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00012742	ERS398145	aureus	22	cc22	S	R		R	R	R	S	S	S	S		S
St_B1	C00012743	ERS398146	aureus	72	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012744	ERS398147	aureus	22	cc22	S	R		R	R	R	S	S	S	S		S
St_B1	C00012745	ERS398148	aureus	12	cc12	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012747	ERS398150	aureus	8	cc8	S	R		S	S	S	S	S	S	R		S
St_B1	C00012748	ERS398151	aureus	NA	NA	S	R		S	S	S	S	S	S	R	S	S
St_B1	C00012749	ERS398152	aureus	5	cc5	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00012750	ERS398153	aureus	45	cc45	S	R		R	S	S	S	S	S	S	R	S
St_B1	C00012751	ERS398154	aureus	45	cc45	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00012752	ERS398155	aureus	5	cc5	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012753	ERS398156	aureus	NA	NA	S	S		S	S	S	S	S	S	S		S
St_B1	C00012754	ERS398157	aureus	20	cc20	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012755	ERS398158	aureus	398	NA	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00012756	ERS398159	aureus	36	cc30	S	R		R	S	R	S	S	S	S	R	S
St_B1	C00012758	ERS398161	aureus	15	cc15	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00012759	ERS398162	aureus	22	cc22	S	R		R	S	R	S	S	S	S	R	S
St_B1	C00012760	ERS398163	aureus	15	cc15	S	S		S	S	S	S	S	S	S		S
St_B1	C00012761	ERS398164	aureus	22	cc22	S	R		R	R	R	R	S	S	S	S	S
St_B1	C00012762	ERS398165	aureus	8	cc8	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00012763	ERS398166	aureus	8	cc8	S	R		S	S	S	S	S	S	S		S
St_B1	C00012764	ERS398167	aureus	59	cc59	S	R		S	S	S	S	S	S	S		S
St_B1	C00012765	ERS398168	aureus	15	cc15	S	R		S	S	S	S	S	S	S		S
St_B1	C00012766	ERS398169	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012767	ERS398170	aureus	188	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012768	ERS398171	aureus	45	cc45	S	R		S	S	S	S	S	S	S		S
St_B1	C00012769	ERS398172	aureus	5	cc5	S	S		S	S	S	S	S	S	S		S
St_B1	C00012770	ERS398173	aureus	5	cc5	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012771	ERS398174	aureus	5	cc5	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012772	ERS398175	aureus	5	cc5	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012773	ERS398176	aureus	5	cc5	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012774	ERS398177	aureus	5	cc5	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012775	ERS398178	aureus	1	cc1	S	S		R	S	S	S	S	S	R	R	S
St_B1	C00012776	ERS398179	aureus	1	cc1	S	S		R	S	S	S	S	S	R		S
St_B1	C00012777	ERS398180	aureus	25	cc25	S	R		S	S	S	S	S	S	R	S	S
St_B1	C00012778	ERS398181	aureus	45	cc45	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012779	ERS398182	aureus	45	cc45	S	R		S	S	S	S	S	S	S		S
St_B1	C00012780	ERS398183	aureus	97	cc97	S	R		S	S	S	S	S	S	S		S
St_B1	C00012781	ERS398184	aureus	NA	NA	S	R		R	S	S	S	S	S	S	R	S
St_B1	C00012782	ERS398185	aureus	8	cc8	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012783	ERS398186	aureus	39	cc39	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012785	ERS398188	aureus	30	cc30	S	R		S	S	S	S	S	S	S		S
St_B1	C00012786	ERS398189	aureus	30	cc30	S	R		S	S	S	S	S	S	S		S
St_B1	C00012787	ERS398190	aureus	130	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012788	ERS398191	aureus	130	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012789	ERS398192	aureus	130	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012790	ERS398193	aureus	30	cc30	S	R		R	S	S	S	S	S	S	R	S
St_B1	C00012792	ERS398195	aureus	22	cc22	S	S		S	S	S	S	S	S	S		S
St_B1	C00012793	ERS398196	aureus	5	cc5	S	S		S	S	S	S	S	S	S		S
St_B1	C00012795	ERS398198	aureus	59	cc59	S	R		R	S	S	S	S	S	S		S
St_B1	C00012796	ERS398199	aureus	8	cc8	S	R		R	S	S	S	S	S	R		S
St_B1	C00012797	ERS398200	aureus	22	cc22	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00012798	ERS398201	aureus	59	cc59	S	R		R	S	S	S	S	S	S		S
St_B1	C00012799	ERS398202	aureus	50	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00012800	ERS398203	aureus	1224	NA	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00012801	ERS398204	aureus	45	cc45	S	R		S	S	S	S	S	S	S		S
St_B1	C00012802	ERS398205	aureus	NA	NA	S	R		S	S	S	S	S	S	S		S
St_B1	C00012803	ERS398206	aureus	45	cc45	S	R		S	S	S	S	S	S	S	S	S
