"Supplementary Dataset 3. R - Resistance, S - Susceptible"																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clonal Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_B1	C00013157	ERS398240	aureus	1	cc1	S	S		R	S	S	S	S	S	R		S
St_B1	C00013158	ERS398241	aureus	8	cc8	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013159	ERS398242	aureus	22	cc22	S	R		S	R	R	S	S	S	S	S	S
St_B1	C00013160	ERS398243	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013161	ERS398244	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013162	ERS398245	aureus	1	cc1	S	R		R	S	S	S	S	S	R	S	S
St_B1	C00013163	ERS398246	aureus	72	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013164	ERS398247	aureus	NA	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013165	ERS398248	aureus	NA	NA	S	R		R	R	R	S	S		S	R	S
St_B1	C00013166	ERS398249	aureus	NA	NA	S	R		R	R	R	S	S		S	R	S
St_B1	C00013167	ERS398250	aureus	NA	NA	S	R		R	R	R	S	S		S	R	S
St_B1	C00013168	ERS398251	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013169	ERS398252	aureus	15	cc15	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00013170	ERS398253	aureus	45	cc45	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013171	ERS398254	aureus	45	cc45	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013172	ERS398255	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013173	ERS398256	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013174	ERS398257	aureus	NA	NA	S	R		S	S	S	S	S	S	S		S
St_B1	C00013175	ERS398258	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013176	ERS398259	aureus	109	cc109	S	R		R	S	S	S	S	S	S	R	S
St_B1	C00013177	ERS398260	aureus	8	cc8	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00013178	ERS398261	aureus	5	cc5	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00013179	ERS398262	aureus	5	cc5	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013180	ERS398263	aureus	109	cc109	S	R		R	S	S	S	S	S	S	R	S
St_B1	C00013181	ERS398264	aureus	22	cc22	S	R		R	R	R	S	S	S	S		S
St_B1	C00013182	ERS398265	aureus	8	cc8	S	R		S	S	S	S	S	S	R	S	S
St_B1	C00013183	ERS398266	aureus	8	cc8	S	R		S	S	S	S	S	S	R	S	S
St_B1	C00013184	ERS398267	aureus	8	cc8	S	R		S	S	S	S	S	S	R	S	S
St_B1	C00013185	ERS398268	aureus	789	NA	S	S		S	S	R	S	S	S	S	S	S
St_B1	C00013186	ERS398269	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013187	ERS398270	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013188	ERS398271	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013189	ERS398272	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013190	ERS398273	aureus	72	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013191	ERS398274	aureus	72	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013192	ERS398275	aureus	22	cc22	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00013193	ERS398276	aureus	34	cc34	S	R		S	S	S	S	S	S	S		S
St_B1	C00013194	ERS398277	aureus	22	cc22	S	R		R	R	R	S	S	S	R	R	S
St_B1	C00013195	ERS398278	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013196	ERS398279	aureus	333	NA	S	R		S	S	R	S	S	S	S	S	S
St_B1	C00013197	ERS398280	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013198	ERS398281	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013199	ERS398282	aureus	81	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013200	ERS398283	aureus	10	NA	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00013201	ERS398284	aureus	54	cc45	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013202	ERS398285	aureus	30	cc30	S	R		R	S	S	S	S	S	S	R	S
St_B1	C00013203	ERS398286	aureus	398	NA	S	R		R	S	S	S	S	S	S	R	S
St_B1	C00013204	ERS398287	aureus	54	cc45	S	R		S	S	R	S	S	S	S	S	S
St_B1	C00013205	ERS398288	aureus	NA	NA	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013206	ERS398289	aureus	5	cc5	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013207	ERS398290	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013208	ERS398291	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013209	ERS398292	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013210	ERS398293	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013211	ERS398294	aureus	1	cc1	S	R		S	S	S	S	S	S	R	S	S
St_B1	C00013212	ERS398295	aureus	22	cc22	S	R		R	R	R	S	S	S	R		S
St_B1	C00013213	ERS398296	aureus	1224	NA	S	R		R	S	S	S	S	S	S	S	S
St_B1	C00013214	ERS398297	aureus	8	cc8	S	R		S	S	S	S	S	S	R	S	S
St_B1	C00013215	ERS398298	aureus	NA	NA	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00013216	ERS398299	aureus	291	cc291	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013217	ERS398300	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_B1	C00013218	ERS398301	aureus	1	cc1	S	R		R	R	S	S	S	S	R	R	S
St_B1	C00013219	ERS398302	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013220	ERS398303	aureus	15	cc15	S	R		S	S	S	S	S	S	S	S	S
St_B1	C00013221	ERS398304	aureus	45	cc45	S	S		S	S	S	S	S	S	S	S	S
St_B1	C00013223	ERS398306	aureus	39	cc39	S	R		S	S	S	S	S		S		S
St_B1	C00013224	ERS398307	aureus	45	cc45	S	R		S	S	S	S	S		S		S
St_B1	C00013225	ERS398308	aureus	1224	NA	S	R		S	S	S	S	S		S		S
St_B1	C00013226	ERS398309	aureus	NA	NA	S	R		S	S	S	S	S	S	S		S
St_B1	C00013227	ERS398310	aureus	45	cc45	S	R		S	S	S	S	S		S		S
St_B1	C00013228	ERS398311	aureus	30	cc30	S	S		S	S	S	S	S		S		S
St_B1	C00013229	ERS398312	aureus	6	cc6	S	R		S	S	S	S	S		S		S
St_B1	C00013230	ERS398313	aureus	88	cc88	S	R		S	R	S	S	R		S		S
St_B1	C00013231	ERS398314	aureus	630	NA	S	R		S	S	S	S	S		R		S
St_B1	C00013232	ERS398315	aureus	7	cc7	S	S		S	S	S	S	S		S		S
St_B1	C00013233	SRR2101499	aureus	30	cc30	S	R		S	S	S	S	S	S	S		S
St_B1	C00013234	ERS398316	aureus	30	cc30	S	R		S	S	S	S	S		S		S
St_B1	C00013235	ERS398317	aureus	1	cc1	S	R		S	S	S	S	S		R		S
St_B1	C00013236	ERS398318	aureus	22	cc22	S	R		R	R	R	S	S		S		S
St_B1	C00013237	ERS398319	aureus	22	cc22	S	R		R	R	R	S	S		S		S
St_B1	C00013238	ERS398320	aureus	109	cc109	S	R		S	S	S	S	S		S		S
St_B1	C00013239	ERS398321	aureus	NA	NA	S	R		S	S	S	S	S		S		S
St_B1	C00013240	ERS398322	aureus	30	cc30	S	R		S	S	S	S	S		S		S
St_B1	C00013241	ERS398323	aureus	22	cc22	S	S		S	S	S	S	S		S		S
St_B1	C00013242	ERS398324	aureus	39	cc39	S	R		S	S	S	S	S		S		S
St_B1	C00013243	ERS398325	aureus	39	cc39	S	R		S	S	S	S	S		S		S
St_B1	C00013244	ERS398326	aureus	15	cc15	S	R		S	S	S	S	S		S		S
St_B1	C00013245	ERS398327	aureus	15	cc15	S	R		S	S	S	S	S		S		S
St_B1	C00013246	ERS398328	aureus	1	cc1	S	S		S	S	S	S	S		R		S
St_B1	C00013247	ERS398329	aureus	22	cc22	S	R		S	R	R	S	S	S	S		S
St_B1	C00013248	ERS398330	aureus	1	cc1	S	R		S	S	S	S	S		R		S
St_B1	C00013249	ERS398331	aureus	45	cc45	S	R		S	S	S	S	S		S		S
St_B1	C00013250	ERS398332	aureus	39	cc39	S	R		S	S	S	S	S	S	S		S
St_B1	C00013251	ERS398333	aureus	45	cc45	S	R		S	S	S	S	S		S		S
St_B1	C00013313	ERS398334	aureus	30	cc30	S	R		R	S	S	S	S		S		S
St_B1	C00013314	ERS398335	aureus	22	cc22	S	R		S	R	R	R	S		S		S
St_B1	C00013315	ERS398336	aureus	45	cc45	S	R		S	S	S	R	S		S		S
St_B1	C00013316	ERS398337	aureus	59	cc59	S	R		S	S	S	S	S		R		S
St_B1	C00013317	ERS398338	aureus	45	cc45	S	R		S	S	S	S	S		S		S
St_B1	C00013318	ERS398339	aureus	NA	NA	S	S		S	S	S	S	S		S		S
St_B1	C00013319	ERS398340	aureus	45	cc45	S	R		S	S	S	S	S		S		S
St_B1	C00013320	ERS398341	aureus	45	cc45	S	R		S	S	S	S	S		S		S
St_B1	C00013321	ERS398342	aureus	5	cc5	S	R		S	S	S	S	S		S		S
St_B1	C00013322	ERS398343	aureus	45	cc45	S	S		S	S	S	S	S		S		S
St_B1	C00013323	ERS398344	aureus	59	cc59	S	S		S	S	S	S	S		S		S
St_B1	C00013324	ERS398345	aureus	8	cc8	S	R		S	S	S	S	R		R		S
St_B1	C00013325	ERS398346	aureus	789	NA	S	R		S	S	S	S	S		S		S
St_B1	C00013326	ERS398347	aureus	582	cc582	S	R		R	S	S	S	S		S		S
St_B1	C00013327	ERS398348	aureus	22	cc22	S	S		S	S	S	S	S		S		S
St_B1	C00013328	ERS398349	aureus	8	cc8	S	R		S	S	S	S	S		S		S
St_B1	C00013329	ERS398350	aureus	12	cc12	S	S		S	S	S	S	S		S		S
St_B1	C00013330	ERS398351	aureus	NA	NA	S	R		S	S	S	S	R		S		S
St_B1	C00013331	ERS398352	aureus	2255	cc15	R	R		S	S	S	S	S		S		S
St_B1	C00013332	ERS398353	aureus	8	cc8	S	R		S	S	S	S	S		S		S
St_B1	C00013333	ERS398354	aureus	59	cc59	S	R		S	S	S	S	S		S		S
St_B1	C00013334	ERS398355	aureus	NA	NA	S	R		S	S	S	S	R		S		S
St_B1	C00013335	ERS398356	aureus	8	cc8	S	R		R	S	S	S	R		S		S
St_B1	C00013336	ERS398357	aureus	425	NA	S	S		S	S	S	S	S		S		S
St_B1	C00013337	ERS398358	aureus	45	cc45	S	R		S	S	S	S	S		S		S
St_B1	C00013338	ERS398359	aureus	NA	NA	S	R		S	S	S	S	S		S		S
St_B1	C00013339	ERS398360	aureus	22	cc22	S	R		S	S	R	S	S		S		S
St_B1	C00013340	ERS398361	aureus	NA	NA	S	R		S	S	S	S	R		S		S
St_B1	C00013341	ERS398362	aureus	59	cc59	S	R		S	S	S	S	S		S		S
St_B1	C00013342	ERS398363	aureus	5	cc5	S	R		S	S	S	S	S		S		S
St_B1	C00013343	ERS398364	aureus	8	cc8	S	R		S	S	S	S	S		R		S
St_B1	C00013344	ERS398365	aureus	54	cc45	S	R		S	S	S	S	S		S		S
St_B1	C00013345	ERS398366	aureus	30	cc30	S	R		S	S	S	S	S		S		S
St_B1	C00013346	ERS398367	aureus	8	cc8	S	R		S	S	S	S	S		S		S
St_B1	C00013347	ERS398368	aureus	22	cc22	S	S		S	S	S	S	S		S		S
St_B1	C00013348	ERS398369	aureus	59	cc59	S	R		R	S	S	S	S		S		S
St_B1	C00013349	ERS398370	aureus	30	cc30	S	R		S	S	S	S	S		S		S
St_B1	C00013350	ERS398371	aureus	425	NA	S	S		S	S	S	S	S		S		S
St_B1	C00013351	ERS398372	aureus	8	cc8	S	R		S	S	S	S	S		S		S
St_B1	C00013352	ERS398373	aureus	6	cc6	S	R		S	S	S	S	S		S		S
St_B1	C00013353	ERS398374	aureus	59	cc59	S	R		S	S	S	S	S		S		S
St_B1	C00013354	ERS398375	aureus	45	cc45	S	R		S	S	S	S	S		S		S
St_B1	C00013355	ERS398376	aureus	59	cc59	S	S		R	S	S	S	S		S		S
St_B1	C00013357	ERS398378	aureus	59	cc59	S	S		S	S	S	S	S		S		S
St_B1	C00013358	ERS398379	aureus	8	cc8	S	R		S	S	S	S	S		S		S
St_B1	C00013359	ERS398380	aureus	72	NA	S	R		S	S	S	S	S		S		S
St_B1	C00013360	ERS398381	aureus	15	cc15	S	S		S	S	S	S	S		S		S
St_B1	C00013361	ERS398382	aureus	30	cc30	S	R		S	S	S	S	R		S		S
St_B1	C00013362	ERS398383	aureus	12	cc12	S	R		S	S	S	S	S		S		S
St_B1	C00013363	ERS398384	aureus	45	cc45	S	S		S	S	S	S	S		S		S
St_B1	C00013364	ERS398385	aureus	45	cc45	S	S		S	S	S	S	S		S		S
St_B1	C00013365	ERS398386	aureus	30	cc30	S	R		S	S	S	S	S		S		S
St_B1	C00013366	ERS398387	aureus	25	cc25	S	R		S	S	S	S	R		S		S
St_B1	C00013367	ERS398388	aureus	1	cc1	S	S		S	S	S	S	S		R		S
St_B1	C00013368	ERS398389	aureus	22	cc22	S	R		R	R	R	S	S		S		S
St_B1	C00013369	ERS398390	aureus	34	cc34	S	R		S	S	S	R	S		S		S
St_B1	C00013370	ERS398391	aureus	59	cc59	S	R		S	S	S	S	S		S		S
St_B1	C00013372	ERS398393	aureus	5	cc5	S	S		S	S	S	S	S		S		S
St_B1	C00013373	ERS398394	aureus	54	cc45	S	R		S	S	S	S	S		S		S
St_B1	C00013374	ERS398395	aureus	NA	NA	S	R		S	S	S	S	S		R		S
St_B1	C00013375	ERS398396	aureus	7	cc7	S	S		S	S	S	S	S		S		S
St_B1	C00013376	ERS398397	aureus	1	cc1	S	R		S	S	R	S	S		S		S
St_B1	C00013377	ERS398398	aureus	39	cc39	S	R		S	S	S	S	S		S		S
St_B1	C00013378	ERS398399	aureus	NA	NA	S	R		S	S	S	S	S		S		S
St_B1	C00013379	ERS398400	aureus	NA	NA	S	S		S	S	S	S	S		S		S
St_B1	C00013380	ERS398401	aureus	NA	NA	S	R		S	S	S	S	S		S		S
St_B1	C00013381	ERS398402	aureus	22	cc22	S	R		R	R	R	S	S	S	S		S
St_B1	C00013382	ERS398403	aureus	45	cc45	S	R		S	S	S	R	S		S		S
St_B1	C00013383	ERS398404	aureus	45	cc45	S	R		S	S	S	S	S		S		S
St_B1	C00013384	ERS398405	aureus	15	cc15	S	R		S	S	S	S	R		S		S
St_B1	C00013385	ERS398406	aureus	NA	NA	S	S		S	S	S	S	S		R		S
St_B1	C00013386	ERS398407	aureus	1163	NA	S	R		S	S	S	S	S		S		S
St_B1	C00013387	ERS398408	aureus	30	cc30	S	R		S	S	S	S	S		S		S
St_B1	C00013388	ERS398409	aureus	34	cc34	S	R		S	S	S	S	S		S		S
St_B1	C00013389	ERS398410	aureus	5	cc5	S	R		S	S	S	S	S		S		S
St_B1	C00013390	ERS398411	aureus	59	cc59	S	S		R	S	S	S	S		S		S
St_B1	C00013391	ERS398412	aureus	291	cc291	S	R		S	S	S	S	S		S		S
St_B1	C00013392	ERS398413	aureus	15	cc15	S	S		S	S	S	S	S		S		S
St_B1	C00013393	ERS398414	aureus	1	cc1	S	R		S	S	S	S	S	S	R		S
St_B1	C00013394	ERS398415	aureus	15	cc15	S	R		S	S	S	S	S		S		S
St_B1	C00013395	ERS398416	aureus	15	cc15	S	S		S	S	S	S	S		S		S
St_B1	C00013396	ERS398417	aureus	8	cc8	S	R		S	S	S	S	R		R		S
St_B1	C00013397	ERS398418	aureus	1693	NA	S	R		S	S	S	S	S		R		S
St_B1	C00013398	ERS398419	aureus	1163	NA	S	R		S	S	S	S	S		S		S
St_B1	C00013399	ERS398420	aureus	39	cc39	S	R		S	S	S	S	S		S		S
St_B1	C00013400	ERS398421	aureus	NA	NA	S	S		S	S	S	S	S		R		S
St_B1	C00013401	ERS398422	aureus	NA	NA	S	S		S	S	S	S	R		R		S
St_B1	C00013402	ERS398423	aureus	88	cc88	S	R		S	S	S	S	S		S		S
St_B1	C00013403	ERS398424	aureus	1163	NA	S	R		S	S	S	S	S		S		S
St_B1	C00013404	ERS398425	aureus	30	cc30	S	R		S	S	S	S	S		S		S
St_B1	C00013405	ERS398426	aureus	NA	NA	S	S		S	S	S	S	S		S		S
St_B1	C00013406	ERS398427	aureus	12	cc12	S	R		S	S	S	S	S		S		S
St_B1	C00013407	ERS398428	aureus	15	cc15	S	R		S	S	S	S	S		S		S
St_B1	C00013408	ERS398429	aureus	NA	NA	S	S		S	S	S	S	S		R		S
