"Supplementary Data 7. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin
MTBC_A2	C00013149	SRR2100731	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013148	SRR2100730	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013095	SRR2100678	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013090	SRR2100673	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013093	SRR2100676	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013092	SRR2100675	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014869	SRR2100934	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013099	SRR2100682	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007274	ERR072026	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007275	ERR072027	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007276	ERR072028	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007270	ERR072022	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007271	ERR072023	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007272	ERR072024	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007273	ERR072025	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007278	ERR072030	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007279	ERR072031	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008928	SRR2100379	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008925	SRR2100376	tuberculosis	R	R	S	S	S	S	S	R	R	R
MTBC_A2	C00008926	SRR2100377	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008921	SRR2100372	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008923	SRR2100374	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00005500	ERR046965	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005501	ERR046966	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005503	ERR046968	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005504	ERR046969	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005505	ERR046970	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005506	ERR046971	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005507	ERR046972	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005508	SRR2100095	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005509	ERR046974	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014862	SRR2100927	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014945	SRR2100994	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008722	SRR2099928	tuberculosis					S	R				
MTBC_A2	C00008720	SRR2100188	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00012941	SRR2100532	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012944	SRR2100535	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012946	SRR2100537	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012983	SRR2100571	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014874	SRR2100939	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014875	SRR2100940	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014873	SRR2100938	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014871	SRR2100936	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008820	SRR2100275	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007298	ERR072050	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007299	ERR072051	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00015023	SRR2101057	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007291	SRR2100106	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007297	SRR2100107	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008855	SRR2100310	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00015015	SRR2101051	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008851	SRR2100306	tuberculosis	R	R	R	S	S	S	R	S	S	S
MTBC_A2	C00008850	SRR2100305	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00015026	SRR2101060	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012935	SRR2100526	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008858	SRR2100313	tuberculosis	S	S	S	 	 	 	 	 	 	 
