"Supplementary Data 7. R - Resistance, S - Susceptible"													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Ofloxacin
MTBC_A2	C00014856	SRR2100921	tuberculosis	R	R	S	S	S	S	R	S	S	S
MTBC_A2	C00014851	SRR2100916	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00014852	SRR2100917	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00014853	SRR2100918	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00007129	ERR072089	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014858	SRR2100923	tuberculosis	R	S	S	S	S	S	 	R	R	R
MTBC_A2	C00014859	SRR2100924	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008879	SRR2100333	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008878	SRR2100332	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008872	SRR2100326	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008871	SRR2100325	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008870	SRR2100324	tuberculosis	R	R	S	S	S	S	 	S	S	S
MTBC_A2	C00008877	SRR2100331	tuberculosis	R	R	S	S	S	S	 	S	S	S
MTBC_A2	C00008874	SRR2100328	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014806	SRR2100887	tuberculosis	S	R	S	 	 	 	S	S	 	 
MTBC_A2	C00003746	ERR038254	tuberculosis	S	S	S	 	S	S	S	S	 	 
MTBC_A2	C00003747	ERR038255	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00003748	ERR038256	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014925	SRR2100974	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014985	SRR2101028	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014982	SRR2101025	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014983	SRR2101026	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014980	SRR2101024	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00014988	SRR2101030	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00009092	SRR2469366	tuberculosis	S	R	S					S		
MTBC_A2	C00009094	SRR2100394	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00009095	SRR2100395	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00014927	SRR2100976	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005363	SRR2100090	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005364	SRR2100091	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005367	ERR046832	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005368	SRR2469374	tuberculosis	S	S	S							
MTBC_A2	C00014921	SRR2100970	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017983	SRR2101248	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017982	SRR2101247	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017981	SRR2101246	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017980	SRR2101245	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008909	SRR2100361	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017985	SRR2101250	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017984	SRR2101249	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014922	SRR2100971	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014729	SRR2100820	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016908	SRR2101147	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016909	SRR2101148	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014923	SRR2100972	tuberculosis	S	S	S	S	S	S	 	 	S	S
MTBC_A2	C00016900	SRR2101139	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016904	SRR2101143	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016905	SRR2101144	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016906	SRR2101145	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003810	ERR039340	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003811	ERR039341	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003812	ERR039342	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003813	ERR039343	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003814	ERR039344	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00003815	ERR039345	tuberculosis	S	S	S	 	 	 	R	S	 	 
MTBC_A2	C00003816	ERR039346	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003818	ERR040087	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012999	SRR2100587	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012998	SRR2100586	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016931	SRR2101170	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003828	ERR040097	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012993	SRR2100581	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012991	SRR2100579	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012982	SRR2100570	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00016938	SRR2101177	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008914	SRR2467269	tuberculosis	S	S	S							
MTBC_A2	C00008915	SRR2100366	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008916	SRR2100367	tuberculosis	R	R	S	S	S	S	R	 	S	S
MTBC_A2	C00008917	SRR2100368	tuberculosis	R	R	S	S	S	S	 	S	S	S
MTBC_A2	C00008911	SRR2100363	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008912	SRR2100364	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008913	SRR2100365	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005551	ERR047016	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005550	SRR2100103	tuberculosis	S	S	S	 	 	 	S	S	 	 
MTBC_A2	C00008918	SRR2100369	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008725	SRR2100191	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008688	SRR2100161	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008684	SRR2100159	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008680	SRR2100155	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007331	SRR2100132	tuberculosis	R	R	R	 	 	 	 	 	 	 
MTBC_A2	C00007330	SRR2100131	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00007333	SRR2100133	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007335	ERR072087	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00007339	SRR2100136	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012912	SRR2100506	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012910	SRR2100505	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012917	SRR2100510	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005426	ERR046891	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012918	SRR2100511	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005421	ERR046898	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005420	ERR046885	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008868	SRR2100322	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008729	SRR2100195	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013069	SRR2100655	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008864	SRR2100318	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008865	SRR2100319	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00008866	SRR2100320	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008867	SRR2100321	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008863	SRR2100317	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014793	SRR2100874	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00012927	SRR2100519	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012922	SRR2100515	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012923	SRR2100516	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017948	SRR2101214	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012920	SRR2100513	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014885	SRR2100946	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014883	SRR2100945	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005315	ERR046780	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00005314	ERR046779	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00005317	ERR046782	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005316	ERR046781	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005311	ERR046776	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005310	ERR046775	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005313	ERR046778	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00005312	ERR046777	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00005319	ERR046784	tuberculosis	S	R	R	 	 	 	 	R	 	 
MTBC_A2	C00017998	SRR2101263	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00003799	ERR039329	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003797	ERR039327	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003795	ERR039325	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003793	ERR039323	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00003791	ERR038299	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003790	ERR038298	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014854	SRR2100919	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00005534	ERR046999	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014934	SRR2100983	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017961	SRR2101227	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017963	SRR2101229	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003783	ERR038291	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017965	SRR2101231	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017964	SRR2101230	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017968	SRR2101234	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013050	SRR2100637	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013053	SRR2100639	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013052	SRR2100638	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013055	SRR2100641	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013054	SRR2100640	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013057	SRR2100643	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013056	SRR2100642	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013059	SRR2100645	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013058	SRR2100644	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00015005	SRR2101041	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014774	SRR2100857	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005548	ERR047013	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005549	ERR047014	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005545	ERR047010	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005546	ERR047011	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005547	ERR047012	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005540	ERR047005	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005541	ERR047006	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005543	ERR047008	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008671	SRR2100148	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008672	SRR2100149	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008675	SRR2100150	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008677	SRR2100152	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008676	SRR2100151	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00008679	SRR2100154	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008678	SRR2100153	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007322	SRR2100125	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007323	SRR2100126	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007320	ERR072072	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007327	SRR2100129	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007324	SRR2100127	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007325	ERR072077	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007328	ERR072080	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007329	SRR2100130	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005430	ERR046895	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005432	ERR046897	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012900	SRR2100496	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012902	SRR2100498	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012903	SRR2100499	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00005439	ERR046904	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012908	SRR2100503	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008785	SRR2100244	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008784	SRR2100243	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008786	SRR2100245	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008781	SRR2100240	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008783	SRR2100242	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007141	SRR2467266	tuberculosis	S	S	S							
MTBC_A2	C00008891	SRR2100344	tuberculosis	S	R	S	 	 	 	 	 	 	 
MTBC_A2	C00008890	SRR2100343	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008893	SRR2100346	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008892	SRR2100345	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008895	SRR2100348	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008894	SRR2100347	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008897	SRR2100350	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008898	SRR2100351	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00012878	SRR2100477	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012879	SRR2100478	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012870	SRR2100469	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012871	SRR2100470	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012872	SRR2100471	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012874	SRR2100473	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012876	SRR2100475	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012877	SRR2100476	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00009072	SRR2100392	tuberculosis	R	R	S	S	S	S	R	S	S	S
MTBC_A2	C00003745	SRR2469365	tuberculosis	S	S	S							
MTBC_A2	C00014890	SRR2100949	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014892	SRR2100951	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014893	SRR2100952	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014894	SRR2100953	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014895	SRR2100954	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00014896	SRR2100955	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014898	SRR2100957	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014899	SRR2100958	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00009128	SRR2100399	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00014822	SRR2100900	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00009122	SRR2100398	tuberculosis	R	S	S	 	 	 	 	S	 	 
MTBC_A2	C00005306	ERR046771	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005307	ERR046772	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00005304	ERR046769	tuberculosis	S	S	S	S	S	S	S	 	S	S
MTBC_A2	C00005305	ERR046770	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005302	ERR046767	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005303	ERR046768	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005300	ERR046765	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005308	ERR046773	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003782	ERR038290	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003785	ERR038293	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003787	ERR038295	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00003788	ERR038296	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014987	SRR2101029	tuberculosis	 	 	 	 	 	 	 	 	 	 
MTBC_A2	C00014984	SRR2101027	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014989	SRR2101031	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013042	SRR2100630	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013040	SRR2100628	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013041	SRR2100629	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013046	SRR2100633	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013047	SRR2100634	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013044	SRR2100631	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00013045	SRR2100632	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00013049	SRR2100636	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007316	SRR2100121	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007315	SRR2100120	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007314	SRR2100119	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007313	SRR2100118	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007312	ERR072065	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007311	SRR2100117	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007310	SRR2100116	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007319	SRR2100123	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00007318	SRR2100122	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005445	ERR046910	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005446	ERR046911	tuberculosis	S	S	R	 	 	 	 	R	 	 
MTBC_A2	C00005440	ERR046905	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005443	ERR046908	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00008796	SRR2100254	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008797	SRR2100255	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008794	SRR2100252	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008795	SRR2100253	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008790	SRR2100249	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008798	SRR2100256	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008799	SRR2100257	tuberculosis	R	R	R	R	R	R	 	S	S	S
MTBC_A2	C00008883	SRR2100336	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008881	SRR2100334	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008886	SRR2100339	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008884	SRR2100337	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008885	SRR2100338	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008888	SRR2100341	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00008889	SRR2100342	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00005265	ERR046730	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00014950	SRR2100999	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014953	SRR2101001	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014955	SRR2101003	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014957	SRR2101005	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014956	SRR2101004	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014959	SRR2101007	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014958	SRR2101006	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005339	SRR2100078	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005333	ERR046798	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00005332	ERR046797	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005331	ERR046796	tuberculosis	R	R	R	 	S	S	R	R	 	 
MTBC_A2	C00005330	ERR046795	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005337	SRR2100076	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005336	SRR2100075	tuberculosis	S	S	S	 	 	 	S	 	 	 
MTBC_A2	C00005335	ERR046800	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00005334	ERR046799	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00012949	SRR2100540	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008721	SRR2100189	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00017970	SRR2101236	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017971	SRR2101237	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00017974	SRR2101239	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014555	SRR2100756	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008727	SRR2100193	tuberculosis	S	S	S	 	 	 	 	S	 	 
MTBC_A2	C00014557	SRR2100757	tuberculosis	 	 	S	 	 	 	 	 	 	 
MTBC_A2	C00017979	SRR2101244	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014551	SRR2100752	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014553	SRR2100754	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00008726	SRR2100192	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014775	SRR2100858	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014777	SRR2100860	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014776	SRR2100859	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00014771	SRR2100854	tuberculosis	R	R	S	 	 	 	 	R	 	 
MTBC_A2	C00014770	SRR2100853	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00014773	SRR2100856	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014772	SRR2100855	tuberculosis	R	R	S	S	S	S	 	R	S	R
MTBC_A2	C00008728	SRR2100194	tuberculosis	S	R	S	 	 	 	 	S	 	 
MTBC_A2	C00014897	SRR2100956	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014609	SRR2100801	tuberculosis	S	S	S	 	 	 	 	 	 	 
MTBC_A2	C00014608	SRR2100800	tuberculosis	S	S	S	 	 	 	 	 	 	 
